policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q32,32,1,15,5,32,8,false,local-minimum+exhaustive-certification,128.0,187.147443743321,71.730539396637,160,0,192,0,Exact
Quantum128BitADPS16,q32,32,2,15,8,64,8,true,local-minimum+exhaustive-certification,128.0,684.674576136173,,256,0,,,AtLeast
Quantum128BitADPS16,q32,32,3,15,8,96,8,true,local-minimum+exhaustive-certification,128.0,1706.055143209300,,256,0,,,AtLeast
Quantum128BitADPS16,q32,32,1,255,3,32,8,false,local-minimum+exhaustive-certification,128.0,129.778128588006,10.865000000000,96,0,41,0,Exact
Quantum128BitADPS16,q32,32,2,255,6,64,8,false,local-minimum+exhaustive-certification,128.0,254.083393179869,56.445000000000,192,0,213,0,Exact
Quantum128BitADPS16,q32,32,3,255,8,96,8,true,local-minimum+exhaustive-certification,128.0,662.621983821494,,256,0,,,AtLeast
Quantum128BitADPS16,q64,32,1,15,8,32,8,true,local-minimum+exhaustive-certification,128.0,684.674578234236,,256,0,,,AtLeast
Quantum128BitADPS16,q64,32,2,15,8,64,8,true,local-minimum+exhaustive-certification,128.0,2730.044884976880,,256,0,,,AtLeast
Quantum128BitADPS16,q64,32,3,15,8,96,8,true,local-minimum+exhaustive-certification,128.0,4778.044844736164,,256,0,,,AtLeast
Quantum128BitADPS16,q64,32,1,255,6,32,8,false,local-minimum+exhaustive-certification,128.0,254.083395100512,56.445000000000,192,0,213,0,Exact
Quantum128BitADPS16,q64,32,2,255,8,64,8,true,local-minimum+exhaustive-certification,128.0,1683.665986973870,,256,0,,,AtLeast
Quantum128BitADPS16,q64,32,3,255,8,96,8,true,local-minimum+exhaustive-certification,128.0,3731.654357552919,,256,0,,,AtLeast
Quantum128BitADPS16,q128,32,1,15,8,32,8,true,local-minimum+exhaustive-certification,128.0,2730.044884976880,,256,0,,,AtLeast
Quantum128BitADPS16,q128,32,2,15,8,64,8,true,local-minimum+exhaustive-certification,128.0,6826.044844735550,,256,0,,,AtLeast
Quantum128BitADPS16,q128,32,3,15,8,96,8,true,local-minimum+exhaustive-certification,128.0,above-target:10922.044844735548,,256,0,,,AtLeast
Quantum128BitADPS16,q128,32,1,255,8,32,8,true,local-minimum+exhaustive-certification,128.0,1683.665986973870,,256,0,,,AtLeast
Quantum128BitADPS16,q128,32,2,255,8,64,8,true,local-minimum+exhaustive-certification,128.0,5779.654357375466,,256,0,,,AtLeast
Quantum128BitADPS16,q128,32,3,255,8,96,8,true,local-minimum+exhaustive-certification,128.0,9875.654357375462,,256,0,,,AtLeast
